"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2016年7月29日","20.312","20.200","20.300","20.070","0.09K","0.75%"
"2016年7月28日","20.160","20.290","20.500","20.205","0.02K","0.98%"
"2016年7月27日","19.965","19.965","19.965","19.965","0.00K","1.58%"
"2016年7月26日","19.655","19.675","19.685","19.590","0.17K","0.20%"
"2016年7月25日","19.615","19.500","19.665","19.400","0.12K","-0.19%"
"2016年7月24日","19.652","19.690","19.690","19.633","-","-0.03%"
"2016年7月22日","19.657","19.790","19.795","19.790","0.08K","-0.64%"
"2016年7月21日","19.784","19.375","19.535","19.325","0.03K","1.03%"
"2016年7月20日","19.582","19.625","19.625","19.410","0.14K","-1.97%"
"2016年7月19日","19.975","19.960","20.010","19.920","0.05K","-0.34%"
"2016年7月18日","20.044","20.025","20.095","19.745","0.30K","-1.01%"
"2016年7月17日","20.248","20.307","20.307","20.178","-","0.61%"
"2016年7月15日","20.125","20.230","20.230","20.080","0.09K","-0.77%"
"2016年7月14日","20.281","20.440","20.440","20.085","0.12K","-0.44%"
"2016年7月13日","20.370","20.385","20.420","20.195","0.09K","1.19%"
"2016年7月12日","20.130","20.410","20.465","20.100","0.14K","-0.66%"
"2016年7月11日","20.264","20.370","20.605","20.215","0.14K","-1.33%"
"2016年7月10日","20.538","20.320","20.565","20.320","-","2.39%"
"2016年7月8日","20.058","19.735","20.210","19.400","0.38K","1.31%"
"2016年7月7日","19.798","20.140","20.220","19.530","0.54K","-1.80%"
"2016年7月6日","20.160","20.330","20.495","19.945","0.41K","1.48%"
"2016年7月5日","19.866","19.755","21.095","19.625","0.95K","-3.05%"
"2016年7月4日","20.490","20.025","21.207","20.020","-","2.30%"
"2016年7月3日","20.030","19.830","20.057","19.763","-","2.49%"
"2016年7月1日","19.544","18.790","19.925","18.775","1.08K","5.18%"
"2016年6月30日","18.582","18.315","18.855","18.245","1.44K","1.20%"
"2016年6月29日","18.362","17.800","18.515","17.800","26.07K","2.93%"
"2016年6月28日","17.839","17.839","17.839","17.839","0.01K","0.56%"
"2016年6月27日","17.740","17.865","17.865","17.865","0.00K","-1.06%"
"2016年6月26日","17.930","17.800","17.960","17.800","-","0.82%"
"2016年6月24日","17.785","17.215","17.825","17.215","0.06K","2.52%"
"2016年6月23日","17.348","17.348","17.348","17.348","0.00K","0.25%"
"2016年6月22日","17.305","17.230","17.240","17.230","0.00K","-0.03%"
"2016年6月21日","17.311","17.311","17.311","17.311","0.08K","-1.10%"
"2016年6月20日","17.503","17.445","17.445","17.445","0.00K","0.30%"
"2016年6月19日","17.450","17.460","17.475","17.300","-","0.29%"
"2016年6月17日","17.400","17.420","17.455","17.420","0.00K","-1.10%"
"2016年6月16日","17.594","17.700","17.700","17.255","0.01K","0.60%"
"2016年6月15日","17.489","17.490","17.490","17.490","0.00K","0.45%"
"2016年6月14日","17.410","17.410","17.410","17.410","0.02K","-0.10%"
"2016年6月13日","17.428","17.428","17.428","17.428","0.00K","0.31%"
"2016年6月12日","17.375","17.350","17.375","17.325","-","0.35%"
"2016年6月10日","17.315","17.315","17.315","17.315","0.00K","0.36%"
"2016年6月9日","17.253","17.130","17.165","16.980","0.03K","1.68%"
"2016年6月8日","16.968","16.550","17.050","16.550","0.01K","3.61%"
"2016年6月7日","16.377","16.377","16.377","16.377","0.00K","-0.31%"
"2016年6月6日","16.428","16.428","16.428","16.428","0.00K","-0.16%"
"2016年6月5日","16.455","16.410","16.460","16.410","-","0.67%"
"2016年6月3日","16.346","16.350","16.430","16.345","0.01K","2.13%"
"2016年6月2日","16.005","16.025","16.025","16.025","0.00K","0.62%"
